2022/03/22,17636634531647929316286;17636634531647924256897,14:08-14:10;12:44-12:46,3.0,450,0
2022/08/04,17636634531659612177360;17636634531659617739911,19:23-19:48;20:55-21:12,41.0,8650,0
2022/07/21,17636634531658402447452,19:20-20:38,77.0,11550,0
2022/07/10,17636634531657449255070,18:34-18:52,17.0,2280,0
2022/07/06,17636634531657114209294,21:30-21:40,10.0,1220,0
2022/06/15,17636634531655306415167;17636634531655297430717,23:20-23:30;20:50-21:03,22.0,4890,0
2022/06/13,17636634531655134619816;17636634531655126519730,23:37-23:47;21:22-21:34,21.0,4470,0
2022/06/07,17636634531654607531328,21:12-21:20,7.0,1680,0
2022/08/30,17636634531661858129445;17636634531661864923387,19:15-19:38;21:08-21:22,36.0,6570,0
2022/08/25,17636634531661429388120,20:09-21:10,61.0,9150,0
2022/08/24,17636634531661344966144,20:42-21:09,27.0,4050,0
2022/08/11,17636634531660220378071;17636634531660217770470,20:19-20:33;19:36-20:18,55.0,8250,0
2022/08/10,17636634531660126991750,18:23-19:12,49.0,7350,0
2022/08/09,17636634531660047152741,20:12-20:50,38.0,5700,0
2022/08/05,17636634531659704855767;17636634531659700369630,21:07-21:24;19:53-20:08,31.0,7440,0
2022/09/10,17636634531662814167153,20:49-21:00,11.0,1650,0
2022/09/09,17636634531662732905401;17636634531662732343578;17636634531662730195725;17636634531662719911335,22:15-22:17;22:05-22:08;21:29-21:33;18:38-19:22,52.0,7800,0
2022/09/02,17636634531662134395903;17636634531662129328366,23:59-00:16;22:35-23:58,100.0,15000,0
2022/08/31,17636634531661945056646;17636634531661942800432,19:24-19:46;18:47-18:59,33.0,5511,0
2022/09/15,17636634531663246755856;17636634531663238460758,20:59-21:14;18:41-19:04,37.0,6810,0
2022/09/14,17636634531663160776397;17636634531663152125427,21:06-21:20;18:42-19:08,39.0,7020,0
2022/09/13,17636634531663076609532;17636634531663072560122;17636634531663068305863;17636634531663051033273;17636634531663042009047,21:43-21:45;20:36-21:16;19:25-19:31;14:37-14:40;12:06-12:08,51.0,7650,0
2022/09/12,17636634531662957761750,12:42-12:45,2.0,300,0
2023/02/09,17636634531675902022443;17636634531675939815246;17636634531675914463492;17636634531675905544538,08:20-09:18;18:50-21:34;11:47-13:43;09:19-11:14,452.0,67800,0
2023/02/08,17636634531675825261884;17636634531675815501804,11:01-12:04;08:18-09:22,127.0,19050,0
2022/09/30,17636634531664516748229,13:45-14:06,20.0,4800,0
2022/09/19,17636634531663586291045,19:18-19:28,10.0,1500,0
2022/09/18,17636634531663501424786,19:43-19:47,3.0,450,0
2022/09/17,17636634531663424647475;17636634531663420850599,22:24-22:30;21:20-21:40,25.0,3750,0
2022/09/16,17636634531663331643871;17636634531663329719004,20:34-21:37;20:03-20:21,79.0,12311,0
2020/11/10,17636634531604980216746,11:50-11:54,4.0,768,0
2020/11/02,17636634531604298012033,14:20-14:27,6.0,1152,0
2020/09/18,17636634531600432748637;17636634531600430497047,20:39-21:05;20:01-20:34,58.0,11136,0
2020/09/15,17636634531600127163061;17636634531600125400508,07:46-08:13;07:16-07:45,55.0,10560,0
2020/09/14,17636634531600060814217,13:20-14:08,47.0,9024,0
