bizId,orderId,bikeId,startTimestamp,endTimestamp,distanceMeter,payStatus,showRidingStatus,originFeeCent,actualFeeCent,carbonEmissionsGram,discountDesc,penaltyDesc
1,17636634531683507966407,8643416396,1683507969000,1683508388000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683505273889,8643344736,1683505677000,1683505747000,150,1,0,150,0,7.305,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683378218823,8643344736,1683378221000,1683382039000,9450,1,0,450,0,460.215,ÆïÐÐ¿¨µÖ¿Û4.5Ôª,[]
1,17636634531683371314723,8643344736,1683371316000,1683377110000,14400,1,0,600,0,701.28,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531683368523257,8643262980,1683368525000,1683369130000,1500,1,0,150,0,73.05,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683335314750,8644062550,1683335316000,1683335920000,1500,1,0,150,0,73.05,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683332470634,8644077932,1683332473000,1683332907000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683285381410,8644044900,1683285384000,1683286557000,2850,1,0,150,0,138.795,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683763304346,8643427281,1683763308000,1683764602000,3150,1,0,150,0,153.405,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683717308138,8643427281,1683717311000,1683719884000,6300,1,0,300,0,306.81,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531683714360849,8644010986,1683714364000,1683715202000,1950,1,0,150,0,94.965,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683680964352,8643286153,1683680970000,1683681486000,1200,1,0,150,0,58.44,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683677171836,8643427274,1683677177000,1683678714000,3750,1,0,150,0,182.625,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683638067218,8643454738,1683638069000,1683639032000,2400,1,0,150,0,116.88,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683632093902,8643454738,1683632096000,1683636235000,10200,1,0,450,0,496.74,ÆïÐÐ¿¨µÖ¿Û4.5Ôª,[]
1,17636634531683629445097,8644069495,1683629447000,1683629748000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683595880764,8644010020,1683595882000,1683596287000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683593460018,8643283219,1683593462000,1683593772000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684146191878,8643446838,1684146197000,1684146655000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684112195300,8643472755,1684112199000,1684119396000,17850,1,0,600,0,869.295,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531684109568362,8643239857,1684109575000,1684109996000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683890335645,8643239857,1683890341000,1683896369000,15000,1,0,600,0,730.5,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531683886890509,8644016107,1683886926000,1683888336829,3450,1,0,150,0,168.015,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683853324475,8643259071,1683853328000,1683853764000,1050,1,0,150,0,51.135,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683850548960,8643448682,1683850552000,1683850954000,900,1,0,150,0,43.83,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683803244335,8643448682,1683803248000,1683805506000,5550,1,0,300,0,270.285,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531683800600167,8643426340,1683800602000,1683800916000,750,1,0,150,0,36.525,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531683767031366,8643286301,1683767033000,1683767526841,1200,1,0,150,0,58.44,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684369159753,8643273890,1684369162000,1684369442000,600,1,0,150,0,29.22,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684327094560,8643273890,1684327096000,1684327696000,1500,1,0,150,0,73.05,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684319800601,8643477784,1684319803000,1684326996000,17850,1,0,600,0,869.295,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531684285668085,8643430936,1684285669000,1684286583000,2250,1,0,150,0,109.575,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684282556067,8643284124,1684282558000,1684283053000,1200,1,0,150,0,58.44,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684243917416,8643410685,1684243919000,1684245534000,3900,1,0,150,0,189.93,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684232304470,8643411364,1684232306000,1684239108000,16950,1,0,600,0,825.465,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531684198504414,8644014624,1684198506000,1684199131000,1500,1,0,150,0,73.05,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684194723403,8643257554,1684194725000,1684195874000,2850,1,0,150,0,138.795,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684148780152,8643257554,1684148782000,1684155218000,16050,1,0,600,0,781.635,ÆïÐÐ¿¨µÖ¿Û6Ôª,[]
1,17636634531684718429340,8643306970,1684718431000,1684718943000,1200,1,0,150,0,58.44,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684714667802,8644040568,1684714670000,1684714883000,450,1,0,150,0,21.915,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684677507315,8644040568,1684677510000,1684680668000,7800,1,0,300,0,379.86,ÆïÐÐ¿¨µÖ¿Û3Ôª,[]
1,17636634531684492487266,8644072690,1684492488000,1684500127000,19050,1,0,750,0,927.735,ÓÅ»ÝµÖ¿Û7.5Ôª,[]
1,17636634531684468287502,8643473814,1684468289000,1684469804000,3750,1,0,150,0,182.625,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
1,17636634531684457701127,8644063294,1684457736000,1684459263349,3750,1,0,150,0,182.625,ÆïÐÐ¿¨µÖ¿Û1.5Ôª,[]
